Token Id,Game Lock,Lifecycle,Class,Origin,Birthday,Breeding Points,Attack,Accuracy,Movement Speed,Attack Speed,Defense,Vitality,Resistance,Magic,Mythic,Body,Face,Horn,Hooves,Mane,Tail
5551,Unlocked,Adult,Moon,1,1638700145,7,145,112,164,112,179,149,140,176,,Blue Moonspot,Cosmic Cheer,Bronze Antenna,Blue Moonrock,Green Tentacle,Yellow Crater
20235,Unlocked,Egg,Moon,0,,,,,,,,,,,,,,,,,
5510,Unlocked,Adult,Flower,1,1638700549,7,148,117,222,176,140,148,128,171,,Green Meadow,Stout Determined,Yellow Thorn,Red Oak,Brown Bark,Green Needle
16957,Unlocked,Egg,Crystal,0,,,,,,,,,,,,,,,,,
5960,Unlocked,Adult,Moon,1,1638704758,7,123,123,299,123,156,172,123,231,,Turquoise Moonspot,Vexed Voltage,Green Alien,Blue Laser,Blue Flame,Green Tentacle
5529,Unlocked,Adult,Cloud,1,1638700399,7,225,167,128,218,117,112,161,117,,Night Rain,Dumping Raincloud,Blue Umbrella,Night Ice,Dark Cloud,White Cloud
5783,Unlocked,Adult,Heart,1,1638703138,7,156,134,128,169,157,112,181,128,,Orange Spot,Placid Mask,Yellow Rune,Pink Smooth,Purple Frame,Violet Braid
5603,Unlocked,Adult,Flower,1,1638700177,7,136,123,252,171,140,163,117,141,,Brown Meadow,Fragrant Suave,Green Oak,Green Blossom,Red Bark,Pink Bloom
20095,Unlocked,Egg,Candy,0,,,,,,,,,,,,,,,,,
5682,Unlocked,Adult,Heart,1,1638704570,7,129,112,123,176,218,112,191,123,Single Mythic,Pink Stripe,Radiant Joy,Yellow Rune,Lavender Smooth,Purple Cowlick,Ultimate Princess
5858,Unlocked,Adult,Candy,1,1638704382,7,160,123,221,112,128,302,182,112,,Pink Nougat,Sweet Beaming,Chocolate Bar,Mint Chocolate,Graham Cracker,Pink Whip
5502,Unlocked,Adult,Crystal,1,1638700383,7,112,112,227,112,178,249,117,170,Double Mythic,Pink Pattern,Pearly Whites,Dark Crystal,Purple Stone,Dark Crystal,Turquoise Node
5668,Unlocked,Adult,Crystal,1,1638704928,7,112,123,214,117,151,192,134,182,,Pink Shatter,Pearly Whites,Purple Node,Pink Pattern,Purple Cascade,Purple Geode
6009,Unlocked,Adult,Crystal,1,1638702948,7,128,112,166,128,200,210,134,135,,Purple Stone,Stony Indifference,Purple Node,Pink Pattern,Turquoise Cascade,Purple Node
5686,Unlocked,Adult,Crystal,1,1638703166,7,112,123,179,128,234,235,112,130,,Turquoise Pattern,Crystal Anger,Turquoise Tower,Blue Shatter,Turquoise Shale,Turquoise Geode
5752,Unlocked,Adult,Flower,1,1638702956,7,160,112,312,207,112,176,123,180,,Green Blossom,Shady Sad,Green Poppy,Spring Leaf,Brown Bark,Yellow Needle
5932,Unlocked,Adult,Cloud,1,1638704666,7,194,140,134,216,117,117,142,117,,Day Rain,Sunny Skies,Yellow Umbrella,Night Ice,Gray Cloud,White Cloud
5978,Unlocked,Adult,Moon,1,1638703998,8,134,112,243,112,151,185,112,201,,Green Moonrock,Cosmic Cheer,Silver Antenna,Blue Moonrock,Yellow Crater,Orange Moonrock
6011,Unlocked,Adult,Moon,1,1638704962,7,117,128,184,140,187,170,112,179,,Turquoise Moonspot,Vexed Voltage,Silver Antenna,Turquoise Laser,Green Tentacle,Gray Crater
5977,Unlocked,Adult,Candy,1,1638703994,8,170,123,171,117,140,220,179,123,Single Mythic,Gummy Bear,Glazed Smooth,Strawberry Icecream,Blue Licorice,Graham Cracker,Mint Chocolate
6024,Unlocked,Adult,Cloud,1,1638703506,8,266,216,140,173,112,134,124,140,,Day Rain,Sunny Skies,Bright Lightning,Ground Storm,Shatter Ice,Golden Sun
19834,Unlocked,Egg,Star,0,,,,,,,,,,,,,,,,,
5443,Unlocked,Adult,Candy,1,1638700235,8,177,134,228,117,112,275,156,128,,Pink Nougat,Glazed Smooth,Chocolate Bar,Mint Chocolate,Graham Cracker,Strawberry Chocolate
19673,Unlocked,Egg,Moon,0,,,,,,,,,,,,,,,,,
19924,Unlocked,Egg,Flower,0,,,,,,,,,,,,,,,,,
20116,Unlocked,Egg,Moon,0,,,,,,,,,,,,,,,,,
5904,Unlocked,Adult,Heart,1,1638704820,7,136,162,112,295,192,117,183,112,,Pink Bow,Radiant Joy,Violet Fossil,Orange Spot,Adorbs Braid,Pink Braid
19609,Unlocked,Egg,Flower,0,,,,,,,,,,,,,,,,,
17347,Unlocked,Egg,Flower,0,,,,,,,,,,,,,,,,,
5451,Unlocked,Adult,Cloud,1,1638701023,7,217,204,128,177,123,123,136,123,,Thunder Storm,Stormy Horizon,Fragmented Ice,Ground Storm,White Cloud,Shatter Ice
6047,Unlocked,Adult,Candy,1,1638703472,8,143,128,187,123,123,215,226,123,,Red Sprinkles,Sugary Slyness,Chocolate Bar,Pink Sprinkles,Colorful Marshmallow,Yellow Whip
5983,Unlocked,Adult,Candy,1,1638704738,7,142,112,202,134,134,275,207,123,,Caramel Chocolate,Sweet Beaming,Graham Cracker,Yellow Sprinkles,Strawberry Whip,Graham Cracker
5968,Unlocked,Adult,Moon,1,1638704866,7,117,128,192,117,165,149,156,208,Single Mythic,Green Laser,Blasting Boldness,Bronze Orbital,Turquoise Laser,Dark Comet,Bronze Antenna
5738,Unlocked,Adult,Cloud,1,1638704976,7,186,167,128,196,123,117,163,123,,Fluffy Snow,Stormy Horizon,Solid Ice,Night Ice,Shatter Ice,White Cloud
16685,Unlocked,Egg,Cloud,0,,,,,,,,,,,,,,,,,
5809,Unlocked,Adult,Crystal,1,1638704826,7,117,134,162,112,158,173,117,161,,Pink Shatter,Pearly Whites,Pink Spiral,Purple Gem,Turquoise Shine,Turquoise Node
5487,Unlocked,Adult,Candy,1,1638700049,7,136,140,181,112,112,283,193,145,,Caramel Nougat,Sweet Beaming,Chocolate Bar,Blueberry Swirl,Graham Cracker,Caramel Chocolate
5601,Unlocked,Adult,Moon,1,1638700171,7,128,145,165,112,178,124,128,171,,Red Laser,Cosmic Cheer,Purple Alien,Blue Laser,Green Moonrock,Orange Moonrock
5446,Unlocked,Adult,Flower,1,1638700749,7,124,128,226,180,128,148,112,157,,Autumn Leaf,Stout Determined,Green Poppy,Green Blossom,Brown Bark,Red Leaf
5640,Unlocked,Adult,Cloud,1,1638703568,8,200,140,134,209,117,112,162,123,,Day Ice,Fluffy Smile,Dark Lightning,Thunder Storm,Gray Cloud,Gray Cloud
5464,Unlocked,Adult,Crystal,1,1638700951,7,134,140,171,134,170,225,112,149,,Blue Shatter,Crystal Anger,Purple Node,Purple Gem,Pink Shale,Pink Pearl
17257,Unlocked,Egg,Cloud,0,,,,,,,,,,,,,,,,,
16607,Unlocked,Baby,Crystal,0,0,0,108,103,151,112,121,147,108,124,,Pink Shatter,Crystal Anger,Purple Node,Purple Stone,Turquoise Cascade,Purple Geode
5498,Unlocked,Adult,Cloud,1,1638700361,7,228,140,112,190,117,123,197,140,,Bright Lightning,Sunny Skies,Solid Ice,Night Ice,Small Cloud,Golden Sun
5940,Unlocked,Adult,Cloud,1,1638703340,8,252,189,123,165,134,134,170,112,Single Mythic,Day Ice,Stormy Horizon,Thunder God,Night Ice,Blue Cloud,Gray Cloud
5892,Unlocked,Adult,Moon,1,1638704362,7,112,123,259,117,193,142,123,187,Single Mythic,Red Laser,Vexed Voltage,Bronze Antenna,Gray Laser,Dark Comet,Silver Antenna
5591,Unlocked,Adult,Heart,1,1638700475,7,177,112,123,227,150,117,207,128,,Pink Stripe,Placid Mask,Yellow Rune,Orange Spot,Purple Frame,Pink Braid
17337,Unlocked,Egg,Crystal,0,,,,,,,,,,,,,,,,,
5813,Unlocked,Adult,Cloud,1,1638704046,8,238,164,117,215,151,112,189,117,,Day Ice,Stormy Horizon,Fragmented Ice,Night Ice,Golden Sun,White Cloud
5535,Unlocked,Adult,Moon,1,1638700497,7,123,134,198,117,165,172,128,185,,Red Laser,Blasting Boldness,Bronze Antenna,Blue Moonrock,Green Moonrock,Green Tentacle
17233,Unlocked,Egg,Crystal,0,,,,,,,,,,,,,,,,,
16670,Unlocked,Egg,Crystal,0,,,,,,,,,,,,,,,,,
6016,Unlocked,Adult,Crystal,1,1638703544,8,112,140,188,123,172,213,134,142,,Pink Stone,Crystal Anger,Purple Needle,Blue Shatter,Turquoise Shine,Purple Shatter
19616,Unlocked,Egg,Cloud,0,,,,,,,,,,,,,,,,,
6040,Unlocked,Adult,Flower,1,1638704606,7,190,112,235,163,123,207,117,148,,Autumn Leaf,Stout Determined,Red Pollen,Calming Meadow,Green Blade,Green Leaf
16667,Unlocked,Egg,Candy,0,,,,,,,,,,,,,,,,,
5656,Unlocked,Adult,Candy,1,1638704822,7,129,128,178,123,134,230,184,123,,Caramel Nougat,Glazed Smooth,Chocolate Icecream,Blue Licorice,Chocolate Bar,Chocolate Bar
17295,Unlocked,Egg,Cloud,0,,,,,,,,,,,,,,,,,
5980,Unlocked,Adult,Cloud,1,1638703190,7,202,140,162,188,112,123,190,117,,Night Rain,Fluffy Smile,Solid Ice,Bright Lightning,White Cloud,Gray Cloud
5725,Unlocked,Adult,Candy,1,1638704988,7,184,112,221,112,134,226,178,123,,Pink Nougat,Sweet Smugness,Chocolate Bar,Caramel Nougat,Colorful Marshmallow,Caramel Chocolate
5751,Unlocked,Adult,Crystal,1,1638704828,7,112,117,203,112,187,309,123,148,,Blue Shatter,Crystal Anger,Turquoise Node,Purple Stone,Purple Cascade,Turquoise Geode
5671,Unlocked,Adult,Cloud,1,1638703218,8,200,160,117,185,123,123,185,112,,Night Rain,Stormy Horizon,Yellow Umbrella,Day Ice,Golden Sun,Golden Sun
5676,Unlocked,Adult,Crystal,1,1638704350,7,117,134,203,128,174,250,128,156,Single Mythic,Blue Shatter,Crystal Anger,Dark Crystal,Pink Stone,Turquoise Shine,Turquoise Geode
5587,Unlocked,Adult,Moon,1,1638700265,7,117,112,192,123,157,163,117,195,,Green Laser,Other-Worldly Charm,Green Alien,Blue Moonrock,Red Flame,Green Moonrock
20516,Unlocked,Egg,Heart,0,,,,,,,,,,,,,,,,,
5524,Unlocked,Adult,Moon,1,1638700769,7,112,123,225,117,202,130,117,206,,Green Moonrock,Other-Worldly Charm,Green Eye,Turquoise Laser,Blue Tentacle,Blue Tentacle
5732,Unlocked,Adult,Candy,1,1638703366,8,149,112,169,123,128,222,194,128,,Caramel Nougat,Sugary Slyness,Chocolate Bar,Pink Nougat,Graham Cracker,Caramel Chocolate
5891,Unlocked,Adult,Flower,1,1638704362,7,161,140,235,172,112,154,112,161,,Brown Oak,Stout Determined,Pink Poppy,Red Oak,Green Frond,Green Needle
17278,Unlocked,Egg,Rainbow,0,,,,,,,,,,,,,,,,,
5462,Unlocked,Adult,Heart,1,1638700133,7,209,140,123,280,138,128,223,117,,Green Bow,Haughty Huff,Yellow Whisp,Lavender Smooth,Sunny Braid,Orange Puff
6041,Unlocked,Adult,Cloud,1,1638704606,7,170,153,117,201,151,112,130,112,,Night Ice,Dumping Raincloud,Snowman Carrot,Night Rain,Spikey Ice,Snowman
5760,Unlocked,Adult,Moon,1,1638703850,8,112,134,189,140,144,136,123,196,,Green Laser,Vexed Voltage,Silver Orbital,Red Laser,Yellow Moonrock,Green Moonrock
5976,Unlocked,Adult,Cloud,1,1638702994,7,239,164,123,181,134,123,129,112,,Night Ice,Dumping Raincloud,Blue Umbrella,Thunder Storm,Shatter Ice,Gray Cloud
5825,Unlocked,Adult,Moon,1,1638703456,8,117,112,262,117,176,149,117,198,,Orange Moonrock,Vexed Voltage,Bronze Orbital,Green Moonspot,Yellow Crater,Bronze Antenna
5457,Unlocked,Adult,Heart,1,1638700065,7,149,117,128,205,158,117,154,140,,Lavender Smooth,Jazzy Vibes,Violet Rune,Turquoise Stripe,Purple Frame,Pink Braid
5584,Unlocked,Adult,Heart,1,1638700815,7,135,134,151,193,163,112,169,123,,Pink Bow,Placid Mask,Pink Mop,Pink Smooth,Violet Braid,Pink Braid
20075,Unlocked,Egg,Cloud,0,,,,,,,,,,,,,,,,,
16761,Unlocked,Egg,Candy,0,,,,,,,,,,,,,,,,,
5742,Unlocked,Adult,Cloud,1,1638704820,7,209,153,112,236,123,123,148,140,,Thunder Storm,Dumping Raincloud,Bright Lightning,Night Rain,Dark Cloud,White Cloud
16762,Unlocked,Egg,Star,0,,,,,,,,,,,,,,,,,
16663,Unlocked,Egg,Cloud,0,,,,,,,,,,,,,,,,,
5450,Unlocked,Adult,Candy,1,1638700791,7,162,112,155,151,112,234,225,123,Single Mythic,Caramel Nougat,Sugary Slyness,Graham Cracker,Pink Sprinkles,Strawberry Chocolate,Gummy Bear
15704,Unlocked,Baby,Crystal,0,0,0,108,117,119,117,105,145,103,100,,Turquoise Pattern,Stony Indifference,Turquoise Tower,Blue Shatter,Purple Spikes,Pink Pearl
5533,Unlocked,Adult,Flower,1,1638700007,7,118,112,208,165,156,135,117,172,,Green Blossom,Stout Determined,Green Poppy,Brown Meadow,Green Frond,Green Leaf
5685,Unlocked,Adult,Heart,1,1638704078,7,170,128,112,237,218,117,179,128,,Pink Spot,Radiant Joy,Red Fossil,Pink Bow,Violet Braid,Violet Braid
17931,Unlocked,Egg,Cloud,0,,,,,,,,,,,,,,,,,
5888,Unlocked,Adult,Flower,1,1638704528,7,155,134,216,179,128,148,123,162,,Green Oak,Stout Determined,Green Poppy,Brown Meadow,Yellow Blade,Green Needle
16766,Unlocked,Egg,Rainbow,0,,,,,,,,,,,,,,,,,
5590,Unlocked,Adult,Cloud,1,1638700473,7,253,193,128,189,112,123,148,128,,Bright Lightning,Dumping Raincloud,Blue Umbrella,Fluffy Snow,Shatter Ice,Shatter Ice
5470,Unlocked,Adult,Crystal,1,1638700573,7,123,123,212,156,186,245,112,163,,Blue Shatter,Crystal Anger,Turquoise Tower,Purple Stone,Pink Shale,Turquoise Geode
20084,Unlocked,Egg,Crystal,0,,,,,,,,,,,,,,,,,
6008,Unlocked,Adult,Candy,1,1638702946,8,148,117,173,117,123,216,226,128,Single Mythic,Caramel Nougat,Gummy Bear,Graham Cracker,Blueberry Swirl,Chocolate Bar,Caramel Chocolate
5958,Unlocked,Adult,Flower,1,1638703210,8,149,112,243,191,123,143,123,206,,Green Meadow,Stout Determined,Red Oak,Green Blossom,Red Bark,Green Needle
5967,Unlocked,Adult,Candy,1,1638703324,8,118,117,171,112,128,210,180,128,,Mint Chocolate,Sugary Slyness,Graham Cracker,Yellow Sprinkles,Strawberry Chocolate,Colorful Marshmallow
5730,Unlocked,Adult,Crystal,1,1638705026,7,112,112,240,123,180,252,117,192,,Pink Stone,Stony Indifference,Pink Tower,Pink Stone,Purple Spikes,Turqoise Pearl
6034,Unlocked,Adult,Cloud,1,1638703750,8,232,158,134,181,151,112,149,128,,Thunder Storm,Stormy Horizon,Solid Ice,Ground Storm,Spikey Ice,Shatter Ice
17294,Unlocked,Egg,Moon,0,,,,,,,,,,,,,,,,,
17339,Unlocked,Egg,Star,0,,,,,,,,,,,,,,,,,
17790,Unlocked,Egg,Candy,0,,,,,,,,,,,,,,,,,
5921,Unlocked,Adult,Flower,1,1638703816,7,174,117,220,158,112,199,140,150,,Brown Meadow,Fragrant Suave,Brown Thorn,Green Oak,Yellow Blade,Pink Bloom
17919,Unlocked,Egg,Moon,0,,,,,,,,,,,,,,,,,
5689,Unlocked,Adult,Candy,1,1638704102,7,162,123,190,123,123,198,180,140,,Red Sprinkles,Sweet Beaming,Mint Chocolate,Pink Sprinkles,Strawberry Whip,Graham Cracker
